EmployeeID,AttritionProbability,RiskLevel,TopRiskFactors,RecommendedRetentionAction
488,0.6958,Medium,Stock Option Level; Satisfaction Composite Score; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
491,0.0349,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
492,0.8157,High,Burnout Risk Index; Manager Stability Score; Relationship Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
493,0.5851,Medium,Burnout Risk Index; Stock Option Level; Age,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
494,0.894,High,Manager Stability Score; Training Times Last Year; Total Working Years,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
495,0.255,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
496,0.3809,Medium,Num Companies Worked; Manager Stability Score; Stock Option Level,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
497,0.067,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
498,0.0758,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
499,0.05,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
500,0.0594,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
501,0.0393,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
502,0.7703,High,Num Companies Worked; Stock Option Level; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
505,0.0484,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
507,0.0867,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
508,0.5519,Medium,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
510,0.2542,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
511,0.1675,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
513,0.265,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
514,0.9135,High,Burnout Risk Index; Num Companies Worked; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
515,0.1181,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
516,0.1536,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
517,0.0566,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
518,0.2301,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
520,0.026,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
521,0.1366,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
522,0.128,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
523,0.1343,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
524,0.0939,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
525,0.2969,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
526,0.1121,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
527,0.6106,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
529,0.0692,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
530,0.093,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
531,0.0862,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
532,0.1939,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
533,0.2278,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
534,0.0558,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
536,0.1071,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
538,0.5871,Medium,Num Companies Worked; Satisfaction Composite Score; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
543,0.4009,Medium,Burnout Risk Index; Stock Option Level; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
544,0.053,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
546,0.0415,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
547,0.0816,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
548,0.0481,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
549,0.3278,Medium,Stock Option Level; Burnout Risk Index; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
550,0.0259,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
551,0.0565,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
554,0.8298,High,Stock Option Level; Satisfaction Composite Score; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
555,0.8817,High,Burnout Risk Index; Manager Stability Score; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
556,0.3995,Medium,Monthly Income; Manager Stability Score; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
558,0.0135,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
560,0.1497,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
562,0.0455,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
564,0.0539,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
565,0.7052,High,Work Life Balance; Num Companies Worked; Stock Option Level,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
566,0.9147,High,Manager Stability Score; Work Life Balance; Total Working Years,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
567,0.2234,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
568,0.2838,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
569,0.0314,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
571,0.0259,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
573,0.1765,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
574,0.0476,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
575,0.185,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
577,0.1194,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
578,0.1476,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
579,0.0313,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
580,0.263,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
581,0.0973,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
582,0.7369,High,Num Companies Worked; Stock Option Level; Work Life Balance,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
584,0.8399,High,Job Involvement; Environment Satisfaction; Num Companies Worked,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
585,0.3955,Medium,Stock Option Level; Age; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
586,0.4386,Medium,Burnout Risk Index; Stock Option Level; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
587,0.884,High,Manager Stability Score; Satisfaction Composite Score; Stock Option Level,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
590,0.7628,High,Burnout Risk Index; Num Companies Worked; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
591,0.2588,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
592,0.0858,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
593,0.449,Medium,Num Companies Worked; Stock Option Level; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
595,0.1065,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
597,0.1973,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
599,0.0773,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
600,0.1147,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
601,0.0378,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
602,0.1839,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
604,0.1156,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
605,0.3147,Medium,Burnout Risk Index; Daily Rate; Years Since Last Promotion,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
606,0.2168,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
608,0.8613,High,Burnout Risk Index; Manager Stability Score; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
611,0.152,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
612,0.0139,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
613,0.4926,Medium,Num Companies Worked; Age; Department Research & Development,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
614,0.9718,High,Burnout Risk Index; Monthly Income; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
615,0.089,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
616,0.3028,Medium,Environment Satisfaction; Satisfaction Composite Score; Stock Option Level,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
618,0.7276,High,Manager Stability Score; Num Companies Worked; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
620,0.0991,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
621,0.144,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
622,0.9844,High,Burnout Risk Index; Manager Stability Score; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
623,0.0321,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
624,0.3432,Medium,Burnout Risk Index; Num Companies Worked; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
625,0.0846,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
626,0.1922,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
630,0.0399,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
631,0.6647,Medium,Num Companies Worked; Stock Option Level; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
632,0.2134,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
634,0.0321,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
635,0.098,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
638,0.0346,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
639,0.0685,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
641,0.2925,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
643,0.7546,High,Manager Stability Score; Total Working Years; Monthly Income,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
644,0.0782,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
645,0.2918,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
647,0.5283,Medium,Burnout Risk Index; Environment Satisfaction; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
648,0.9287,High,Monthly Income; Manager Stability Score; Work Life Balance,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
649,0.0808,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
650,0.7705,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
652,0.2732,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
653,0.1902,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
655,0.0535,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
656,0.4927,Medium,Burnout Risk Index; Manager Stability Score; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
657,0.2212,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
659,0.046,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
661,0.1544,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
662,0.18,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
663,0.1862,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
664,0.0952,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
665,0.1423,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
666,0.3812,Medium,Burnout Risk Index; Department Research & Development; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
667,0.4307,Medium,Satisfaction Composite Score; Age; Department Research & Development,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
669,0.4379,Medium,Stock Option Level; Age; Department Research & Development,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
671,0.0927,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
675,0.1092,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
677,0.1158,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
679,0.2406,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
680,0.3897,Medium,Manager Stability Score; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
682,0.1631,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
683,0.014,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
684,0.8887,High,Travel Burden Score; Burnout Risk Index; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
686,0.176,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
689,0.098,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
690,0.1381,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
691,0.0363,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
692,0.0541,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
698,0.3601,Medium,Work Life Balance; Years Since Last Promotion; Daily Rate,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
699,0.1584,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
700,0.0328,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
701,0.8545,High,Stock Option Level; Monthly Income; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
702,0.8325,High,Burnout Risk Index; Stock Option Level; Satisfaction Composite Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
704,0.1596,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
705,0.3918,Medium,Work Life Balance; Satisfaction Composite Score; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
707,0.0737,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
709,0.0412,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
710,0.055,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
712,0.26,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
714,0.0763,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
715,0.1042,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
716,0.0909,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
717,0.2045,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
720,0.7118,High,Satisfaction Composite Score; Stock Option Level; Manager Stability Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
721,0.0557,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
722,0.1766,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
723,0.6497,Medium,Burnout Risk Index; Satisfaction Composite Score; Relationship Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
724,0.0159,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
725,0.0563,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
727,0.0715,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
728,0.1652,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
729,0.4065,Medium,Burnout Risk Index; Num Companies Worked; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
730,0.0194,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
731,0.2014,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
732,0.6431,Medium,Stock Option Level; Num Companies Worked; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
733,0.2031,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
734,0.0371,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
738,0.2448,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
741,0.9061,High,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
742,0.094,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
743,0.0354,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
744,0.2661,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
746,0.3489,Medium,Burnout Risk Index; Num Companies Worked; Department Research & Development,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
747,0.3625,Medium,Num Companies Worked; Age; Years Since Last Promotion,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
749,0.6274,Medium,Manager Stability Score; Total Working Years; Stock Option Level,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
752,0.6454,Medium,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
754,0.1835,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
757,0.0335,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
758,0.3333,Medium,Work Life Balance; Monthly Income; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
760,0.1901,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
762,0.164,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
763,0.3484,Medium,Burnout Risk Index; Stock Option Level; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
764,0.7933,High,Burnout Risk Index; Num Companies Worked; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
766,0.3652,Medium,Total Working Years; Monthly Income; Age,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
769,0.0566,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
771,0.0393,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
772,0.1772,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
773,0.5798,Medium,Burnout Risk Index; Num Companies Worked; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
775,0.1359,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
776,0.0856,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
780,0.2552,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
781,0.2956,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
783,0.1805,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
784,0.3124,Medium,Stock Option Level; Total Working Years; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
785,0.8744,High,Burnout Risk Index; Travel Burden Score; Stock Option Level,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
786,0.1389,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
787,0.5775,Medium,Burnout Risk Index; Num Companies Worked; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
789,0.155,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
791,0.0347,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
792,0.61,Medium,Manager Stability Score; Satisfaction Composite Score; Job Involvement,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
793,0.3559,Medium,Relationship Satisfaction; Satisfaction Composite Score; Age,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
796,0.7144,High,Num Companies Worked; Stock Option Level; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
797,0.0105,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
799,0.3046,Medium,Burnout Risk Index; Num Companies Worked; Daily Rate,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
800,0.1043,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
802,0.2547,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
803,0.6142,Medium,Burnout Risk Index; Stock Option Level; Num Companies Worked,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
804,0.0815,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
805,0.1463,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
806,0.0786,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
807,0.0431,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
808,0.2551,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
809,0.1087,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
811,0.8336,High,Monthly Income; Manager Stability Score; Total Working Years,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
812,0.3343,Medium,Manager Stability Score; Total Working Years; Age,Facilitate skip-level leadership check-in; pair employee with a senior mentor outside direct line of command.
813,0.1044,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
815,0.0327,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
816,0.9103,High,Manager Stability Score; Burnout Risk Index; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
817,0.0507,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
819,0.8017,High,Num Companies Worked; Stock Option Level; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
820,0.0672,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
823,0.0668,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
824,0.0228,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
825,0.6791,Medium,Num Companies Worked; Stock Option Level; Burnout Risk Index,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
826,0.0149,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
827,0.0374,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
828,0.5847,Medium,Num Companies Worked; Stock Option Level; Age,"Schedule strategic check-in with HR to discuss career progression, role expectations, and role-fit."
829,0.1745,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
830,0.0352,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
832,0.601,Medium,Manager Stability Score; Num Companies Worked; Environment Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
833,0.6927,Medium,Burnout Risk Index; Num Companies Worked; Manager Stability Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
834,0.1584,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
836,0.0941,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
837,0.2449,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
838,0.0849,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
840,0.7005,High,Work Life Balance; Relationship Satisfaction; Years Since Last Promotion,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
842,0.5939,Medium,Stock Option Level; Years Since Last Promotion; Promotion Delay Risk,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
843,0.1162,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
844,0.1263,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
845,0.0498,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
846,0.7361,High,Stock Option Level; Satisfaction Composite Score; Relationship Satisfaction,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
847,0.0716,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
848,0.726,High,Burnout Risk Index; Monthly Income; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
850,0.164,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
851,0.1049,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
852,0.2696,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
854,0.7146,High,Num Companies Worked; Stock Option Level; Satisfaction Composite Score,Conduct structured stay-interview; evaluate department culture fit or potential lateral transfer.
855,0.1139,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
856,0.3194,Medium,Burnout Risk Index; Stock Option Level; Monthly Income,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
857,0.0843,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
859,0.0926,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
861,0.1232,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
862,0.3251,Medium,Burnout Risk Index; Num Companies Worked; Environment Satisfaction,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
864,0.2365,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
865,0.0623,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
867,0.044,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
868,0.3208,Medium,Manager Stability Score; Department Research & Development; Daily Rate,Initiate off-cycle compensation review to align with market benchmarks; consider retention bonus.
869,0.1003,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
872,0.1688,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
874,0.0801,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
875,0.3887,Medium,Stock Option Level; Num Companies Worked; Promotion Delay Risk,Conduct career development roadmap meeting; define clear progression milestones and promotion timeline.
878,0.2982,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
879,0.5591,Medium,Burnout Risk Index; Stock Option Level; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
880,0.0867,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
881,0.6799,Medium,Burnout Risk Index; Monthly Income; Overtime Risk Score,"Implement immediate overtime cap, distribute workload, and schedule mandatory wellness recovery days."
882,0.0529,Low,None (Low Attrition Risk),Maintain standard career engagement and annual performance reviews.
